nhiet_do_moi_truong,nhiet_do_quy_trinh,toc_do_quay,momen_xoan,do_mon_dao,loai_san_pham,ca_lam_viec,hong_hoc
301.91,312.68,1415.4,52.96,207.9,H,Sáng,0
300.71,311.32,1566.8,41.1,133.0,H,Đêm,0
300.4,310.61,1526.2,38.58,36.2,L,Chiều,0
294.79,305.64,1378.8,42.23,58.7,L,Đêm,0
301.03,311.12,1788.3,30.67,224.9,L,Chiều,0
300.9,310.27,1614.9,45.99,45.4,L,Chiều,0
299.49,309.79,1649.0,47.73,164.0,M,Đêm,0
299.02,308.07,1354.8,38.93,207.0,M,Chiều,0
303.02,312.7,1817.6,42.23,54.0,M,Chiều,0
298.1,307.62,1615.3,30.17,28.2,L,Chiều,0
299.21,309.54,1512.6,40.23,129.2,H,Sáng,0
301.28,311.8,1336.0,63.49,78.4,M,Chiều,0
298.91,309.28,1613.2,38.75,21.6,M,Sáng,0
300.28,311.95,1572.2,42.07,170.7,M,Đêm,0
298.29,308.45,1460.4,50.89,54.8,M,Chiều,0
300.13,308.41,1513.8,32.31,45.6,L,Đêm,0
302.6,313.14,1547.9,47.24,154.2,H,Sáng,0
299.52,308.88,1521.6,32.91,21.6,M,Chiều,0
297.73,306.48,1431.3,40.31,88.0,L,Sáng,0
294.43,301.58,1762.8,53.37,46.2,M,Sáng,0
300.37,310.68,1384.4,38.61,168.9,L,Sáng,0
300.7,310.95,1671.7,39.79,135.6,M,Sáng,0
299.42,309.09,1367.1,16.91,155.7,L,Chiều,1
305.15,316.02,1661.8,38.53,247.4,L,Sáng,1
296.93,307.81,1700.3,53.91,152.8,H,Sáng,0
300.64,308.99,1464.3,54.39,103.9,L,Chiều,0
296.76,306.93,1568.4,41.92,233.9,H,Chiều,1
302.6,312.88,1569.9,40.17,153.3,L,Chiều,0
300.47,311.34,1182.8,48.94,124.6,H,Sáng,0
301.62,312.68,1592.5,38.18,232.6,L,Chiều,0
297.9,308.1,1404.8,45.54,147.9,L,Sáng,0
299.34,308.16,1465.1,44.27,81.5,H,Sáng,0
299.66,309.81,1539.5,44.49,38.3,H,Đêm,0
298.58,308.72,1654.0,48.2,106.7,M,Đêm,0
295.95,306.0,1659.0,21.6,183.2,L,Chiều,0
298.05,309.6,1577.2,13.71,138.7,M,Chiều,1
296.57,306.75,1342.1,48.54,20.4,L,Chiều,0
299.37,309.73,1526.0,45.17,129.8,M,Chiều,0
300.3,310.65,1691.5,32.71,212.4,H,Sáng,0
297.5,306.55,1206.2,36.01,156.9,H,Chiều,0
300.23,309.78,1180.0,41.35,218.5,L,Chiều,0
297.97,306.38,1351.4,28.84,61.9,L,Đêm,1
301.03,311.55,1668.7,42.53,143.1,H,Chiều,0
298.5,307.79,1680.4,36.69,46.7,M,Chiều,0
302.39,312.92,1711.6,49.9,194.9,M,Sáng,0
304.26,314.2,1529.8,49.88,199.6,L,Đêm,0
300.39,311.58,1510.3,47.39,9.2,M,Chiều,0
301.68,311.98,1588.8,62.24,15.6,L,Chiều,0
305.05,312.41,1686.9,43.02,80.3,M,Sáng,0
299.71,311.01,1534.7,48.39,72.4,L,Chiều,0
300.66,311.83,1713.2,40.38,28.1,M,Sáng,0
301.51,311.47,1180.0,40.13,213.2,H,Chiều,0
302.09,312.12,1450.4,43.86,79.8,L,Đêm,0
299.78,309.16,1415.3,48.72,220.2,L,Chiều,0
304.49,314.38,1561.4,50.07,227.3,M,Sáng,0
300.81,312.61,1180.0,30.58,65.4,H,Sáng,0
297.36,307.75,1711.0,36.64,176.3,M,Chiều,0
299.66,309.34,1728.0,31.89,214.5,H,Sáng,0
301.53,310.93,1389.8,31.81,135.1,L,Đêm,0
295.82,305.47,1503.9,31.09,75.9,L,Đêm,0
299.69,308.62,1584.8,26.19,126.2,M,Đêm,0
301.12,309.78,1357.5,39.55,69.8,L,Chiều,0
300.65,309.35,1442.2,41.35,219.7,L,Sáng,0
300.22,311.26,1345.2,44.05,127.9,L,Đêm,0
297.42,306.61,1805.3,41.01,43.0,L,Đêm,0
300.35,310.42,1574.2,34.68,112.2,L,Sáng,0
298.73,308.89,1879.2,49.53,129.1,M,Sáng,0
298.0,307.7,1661.6,44.41,36.6,M,Chiều,0
299.43,309.27,1180.0,38.16,233.2,M,Đêm,0
298.37,307.53,1575.7,25.69,166.7,L,Chiều,0
300.82,311.29,1636.4,39.43,167.4,H,Sáng,0
299.71,308.9,1697.8,26.88,78.7,H,Chiều,0
298.41,307.83,1389.7,48.54,45.2,H,Sáng,0
299.07,308.68,1617.1,39.84,179.5,M,Sáng,0
299.09,307.92,1728.4,44.2,202.0,L,Đêm,0
302.52,312.6,1891.6,40.25,131.5,H,Sáng,0
298.85,308.38,1496.7,59.98,157.4,L,Sáng,0
301.52,311.89,1557.4,5.15,107.0,L,Chiều,1
298.72,307.89,1370.2,22.52,75.7,H,Đêm,0
297.79,306.37,1509.2,38.12,6.9,M,Sáng,0
298.74,307.73,1650.6,41.85,123.8,L,Chiều,0
297.42,307.74,1642.3,53.18,234.0,L,Sáng,0
301.01,311.83,1531.7,58.33,109.0,L,Sáng,0
298.39,306.4,1673.1,29.78,207.5,L,Chiều,0
297.95,307.36,1550.0,21.53,170.3,L,Đêm,0
299.13,309.1,1572.2,45.32,62.0,M,Chiều,0
299.5,311.01,1608.3,18.01,197.0,H,Chiều,0
301.61,311.3,1569.8,24.92,231.4,L,Sáng,0
300.53,309.95,1221.1,31.91,172.9,H,Chiều,0
302.99,312.63,1816.1,55.59,109.4,M,Sáng,0
300.61,311.58,1636.1,33.27,210.5,L,Chiều,0
302.54,313.42,1500.7,36.05,93.8,M,Chiều,0
300.35,310.43,1453.1,43.25,213.8,M,Chiều,0
300.03,309.07,1667.1,40.32,116.0,L,Chiều,0
301.44,311.6,1680.0,43.59,201.0,M,Chiều,0
298.36,308.29,1448.8,16.4,149.4,L,Chiều,1
298.29,307.97,1647.2,50.63,59.8,L,Chiều,0
299.58,308.62,1504.2,52.06,51.3,M,Đêm,0
304.17,314.65,1607.3,60.85,64.6,H,Sáng,0
300.13,310.68,1502.8,42.24,47.0,L,Đêm,0
301.2,310.95,1398.9,33.5,16.1,H,Chiều,0
297.76,307.97,1804.0,31.19,57.0,L,Chiều,0
301.0,311.45,1736.0,47.29,29.3,L,Chiều,0
299.2,307.9,1688.4,31.07,236.2,H,Chiều,0
301.23,311.81,1466.0,37.49,243.1,M,Sáng,0
298.25,307.31,1678.3,47.04,178.1,H,Sáng,0
299.09,308.59,1524.6,35.46,226.6,L,Chiều,0
298.38,308.58,1643.6,49.7,101.9,L,Sáng,0
301.73,313.58,1941.2,31.97,148.1,L,Sáng,0
300.37,310.35,1568.7,43.91,31.9,H,Sáng,0
301.56,311.1,1697.6,20.57,153.1,M,Đêm,0
297.76,306.11,1281.9,50.25,41.1,L,Đêm,1
300.98,309.32,1381.7,44.52,247.1,L,Sáng,1
298.67,308.38,1184.8,25.19,102.7,L,Chiều,0
299.82,308.86,1525.6,27.42,65.2,L,Đêm,0
299.02,310.34,1651.8,33.67,70.6,M,Đêm,0
301.44,310.41,1868.8,48.45,19.9,L,Sáng,0
300.26,310.86,1632.4,44.59,120.2,M,Chiều,0
299.27,310.14,1529.6,46.39,52.9,L,Chiều,0
297.93,307.23,1538.1,52.49,233.8,M,Chiều,0
301.06,309.7,1673.2,26.94,21.8,H,Sáng,0
299.96,310.93,1745.1,57.22,27.1,H,Sáng,1
299.12,310.52,1361.1,41.41,133.8,M,Chiều,0
300.51,309.75,1601.7,36.03,227.3,L,Sáng,0
299.42,309.78,1549.1,37.33,153.8,M,Đêm,0
303.33,314.21,1524.8,58.21,191.1,L,Đêm,0
299.86,309.89,1682.3,41.69,205.0,H,Chiều,0
302.05,311.57,1456.5,32.11,251.8,L,Chiều,0
303.95,312.95,1717.3,36.04,43.5,M,Chiều,0
297.82,307.89,1680.6,37.62,104.7,L,Sáng,0
302.77,312.79,1661.3,44.71,44.5,M,Đêm,0
301.09,310.56,1473.3,43.66,208.0,M,Đêm,0
301.31,311.44,1699.9,47.82,248.4,L,Sáng,1
298.22,308.58,1581.6,30.6,247.9,L,Chiều,0
300.63,311.19,1491.8,38.06,80.4,L,Đêm,0
300.27,310.48,1515.9,39.36,216.8,L,Sáng,0
295.31,304.6,1297.6,44.15,90.7,M,Chiều,0
299.98,309.96,1463.9,29.55,228.4,H,Sáng,0
301.75,313.15,1667.3,44.86,182.8,L,Sáng,0
302.89,313.33,1594.3,43.66,3.7,L,Đêm,0
300.66,311.21,1351.3,28.63,150.6,H,Sáng,0
301.32,312.85,1328.8,29.09,202.4,L,Sáng,0
297.53,309.34,1389.4,47.47,186.7,L,Sáng,0
299.72,309.33,1572.1,38.95,206.4,L,Đêm,0
300.31,309.86,1472.1,45.96,60.0,M,Đêm,0
298.66,308.59,1656.3,34.66,33.8,L,Chiều,0
299.35,307.91,1634.2,31.41,49.4,L,Sáng,0
298.18,306.63,1553.9,43.92,5.9,M,Đêm,0
299.0,309.4,1180.0,41.07,135.1,M,Đêm,0
297.97,307.22,1672.3,48.4,80.2,L,Chiều,0
298.53,308.16,1495.7,26.62,30.8,L,Chiều,0
296.72,307.86,1680.7,54.16,68.0,M,Sáng,0
299.56,308.49,1473.0,28.39,78.1,L,Chiều,0
301.48,313.21,1361.8,52.3,137.1,H,Đêm,0
300.7,308.28,1616.3,46.37,153.0,L,Sáng,0
304.09,314.34,1331.7,56.45,105.1,M,Chiều,0
299.07,309.39,1431.0,32.59,63.8,M,Chiều,0
301.95,312.56,1454.6,50.34,31.7,H,Đêm,0
301.33,310.87,1369.5,43.38,166.3,L,Chiều,0
298.72,309.05,1733.8,34.21,79.4,L,Chiều,0
299.47,308.88,1481.8,35.08,157.7,M,Sáng,0
303.9,313.33,1837.6,43.27,74.3,L,Sáng,0
301.76,311.6,1384.6,44.48,192.9,M,Chiều,0
300.48,310.32,1829.5,3.5,166.4,L,Đêm,1
298.98,308.19,1490.4,36.46,243.8,M,Chiều,0
297.58,309.41,1649.4,32.01,170.7,L,Sáng,0
299.4,310.38,1819.2,21.04,172.1,H,Chiều,0
300.61,311.93,1553.4,33.24,44.9,M,Chiều,0
298.02,307.9,1523.8,51.97,94.9,L,Đêm,0
300.44,308.89,1538.2,36.75,152.9,M,Sáng,0
301.52,311.82,1416.3,49.46,36.2,L,Sáng,0
298.87,309.3,1249.7,14.19,226.3,H,Đêm,1
300.38,311.55,1180.0,40.23,25.8,M,Chiều,0
300.87,311.41,1473.8,27.99,211.5,M,Đêm,0
298.87,307.44,1375.4,52.58,74.9,L,Sáng,1
299.69,310.93,1583.4,48.05,222.2,H,Chiều,0
303.7,314.33,1630.2,35.45,177.1,L,Chiều,0
299.74,308.44,1292.1,30.2,130.7,H,Sáng,0
297.63,308.73,1411.6,35.36,76.9,H,Sáng,0
300.18,308.87,1534.3,49.48,146.9,H,Sáng,0
299.55,308.56,1370.2,33.82,158.4,M,Chiều,0
297.61,305.61,1446.9,40.36,174.8,L,Sáng,0
302.64,312.77,1568.8,42.17,29.0,M,Đêm,0
302.28,312.26,1686.2,49.85,17.7,L,Chiều,0
302.75,313.09,1543.4,40.81,62.1,L,Sáng,0
299.93,310.75,1860.8,34.65,79.9,M,Sáng,0
299.41,309.27,1630.0,33.87,240.5,M,Đêm,0
299.29,309.41,2008.5,31.38,155.0,M,Sáng,0
300.77,311.49,1585.5,34.56,150.2,M,Chiều,0
300.55,309.04,1744.5,27.89,142.5,M,Chiều,0
298.72,309.21,1664.3,38.75,77.8,M,Chiều,0
301.24,310.16,1540.2,33.63,218.5,L,Sáng,0
300.58,310.98,1264.1,29.4,37.5,L,Đêm,0
300.55,308.59,1535.0,56.71,233.9,L,Chiều,0
302.14,311.64,1393.1,38.6,25.2,H,Sáng,0
297.73,307.45,1843.0,52.84,87.3,H,Đêm,0
301.81,313.83,1493.8,31.22,31.8,M,Chiều,0
295.08,305.17,1643.9,59.97,153.7,M,Chiều,0
299.69,311.42,1805.3,42.96,20.2,L,Sáng,0
300.47,310.2,1602.4,37.96,156.3,L,Sáng,0
296.97,307.3,1677.5,31.98,124.6,H,Chiều,0
301.96,312.01,1189.6,44.62,17.4,M,Sáng,0
303.99,315.19,1390.8,29.88,160.5,L,Đêm,0
300.87,309.94,1385.2,38.52,230.5,L,Chiều,0
303.73,314.44,1606.6,47.61,113.2,L,Chiều,0
303.13,310.5,1423.8,40.68,248.1,H,Chiều,1
301.56,310.52,1326.3,44.88,6.6,L,Đêm,0
301.7,313.09,1727.9,22.17,178.4,L,Chiều,0
299.04,309.27,1365.0,59.87,61.7,M,Sáng,0
295.17,305.51,1549.8,31.42,133.2,L,Sáng,0
300.33,311.23,1550.5,44.65,4.1,H,Đêm,0
299.44,310.12,1531.9,35.68,222.5,L,Đêm,0
296.74,308.64,1456.5,32.41,114.0,H,Sáng,0
301.45,311.6,1406.8,40.67,109.6,M,Chiều,0
304.64,313.56,1558.6,39.93,245.3,M,Chiều,1
301.09,311.28,1416.4,40.23,248.3,L,Sáng,1
298.62,309.05,1647.4,43.62,57.8,L,Sáng,0
300.16,309.86,1624.4,55.63,194.6,L,Sáng,0
300.1,310.85,1430.5,32.32,123.0,L,Chiều,0
297.0,305.68,1180.0,40.76,79.8,H,Chiều,0
298.56,308.69,1560.9,39.48,249.9,L,Sáng,0
296.91,307.42,1180.0,44.68,144.9,L,Đêm,0
300.47,311.4,1336.6,56.15,106.8,M,Chiều,0
298.39,307.5,1828.5,44.48,97.4,M,Sáng,0
299.33,309.34,1554.4,41.29,56.6,H,Sáng,0
299.17,308.73,1711.9,27.33,203.2,L,Sáng,0
297.61,307.82,1634.2,48.33,40.9,M,Sáng,0
303.57,311.33,1398.2,43.77,207.3,L,Sáng,0
300.62,309.83,1180.0,48.68,209.0,L,Chiều,0
295.91,304.98,1716.7,40.78,198.8,M,Chiều,0
301.17,310.64,1335.0,43.43,58.0,H,Đêm,0
301.28,312.83,1394.2,49.79,159.8,H,Sáng,1
300.55,311.51,1515.0,39.42,61.7,H,Đêm,0
299.14,309.52,1325.3,44.36,90.3,L,Chiều,0
300.91,309.43,1484.7,47.88,118.8,M,Chiều,0
301.29,310.14,1180.0,41.72,27.7,L,Chiều,0
302.47,310.62,1180.0,48.12,187.9,L,Sáng,1
300.51,311.35,1452.3,33.11,125.7,L,Chiều,0
302.16,312.45,1180.0,45.75,37.6,L,Chiều,0
301.73,312.84,1614.7,46.16,116.4,M,Đêm,0
299.94,309.78,1448.9,37.63,221.6,M,Sáng,0
300.23,310.4,1574.9,26.99,83.3,L,Đêm,0
300.78,309.95,1534.9,54.05,1.0,L,Đêm,0
301.76,311.0,1492.9,49.93,62.0,L,Sáng,0
297.46,306.15,1459.0,33.86,182.5,L,Đêm,0
296.79,306.03,1461.6,40.19,198.3,M,Sáng,0
297.95,309.19,1650.2,39.6,221.7,L,Chiều,0
298.36,308.57,1474.9,33.96,175.7,L,Sáng,0
296.61,307.06,1687.2,52.43,76.5,M,Sáng,0
302.54,312.98,1525.1,31.25,85.3,L,Đêm,0
300.22,309.38,1748.2,33.84,222.0,M,Sáng,0
302.39,313.35,1180.0,50.5,208.0,L,Đêm,0
299.34,309.86,1902.8,48.24,66.4,H,Chiều,0
302.79,311.7,1379.6,44.7,209.5,L,Chiều,1
300.99,310.27,1369.9,44.77,184.5,M,Đêm,0
301.29,312.23,1500.2,36.59,97.0,L,Sáng,0
302.04,311.33,1590.2,37.32,114.9,L,Sáng,0
298.65,308.11,1180.0,51.82,88.3,M,Chiều,0
300.89,310.52,1404.7,21.93,46.5,L,Chiều,0
298.71,307.06,1765.2,48.85,226.7,M,Chiều,0
301.17,311.11,1418.5,29.92,99.4,L,Sáng,0
299.3,309.17,1707.3,43.31,61.4,L,Chiều,0
301.93,309.17,1730.2,49.13,19.8,L,Chiều,0
296.54,308.14,1898.5,53.31,107.3,H,Đêm,0
299.9,311.01,1415.4,42.89,35.6,H,Đêm,0
298.91,307.75,1559.0,47.81,84.8,H,Chiều,0
296.99,307.83,1514.6,43.17,187.7,M,Đêm,0
298.31,308.83,1270.4,33.46,111.6,M,Chiều,0
298.71,306.87,1378.9,38.92,89.6,M,Chiều,1
299.26,309.63,1532.8,44.03,243.0,M,Sáng,0
297.99,308.89,1435.4,53.76,26.0,L,Sáng,0
299.53,308.91,1543.9,56.98,44.1,M,Đêm,0
296.69,307.22,1549.2,50.71,123.6,M,Sáng,0
302.75,314.36,1507.7,44.44,52.4,H,Đêm,0
301.61,313.73,1694.1,37.22,84.7,L,Sáng,0
298.92,309.62,1544.2,52.91,196.3,H,Sáng,0
301.67,312.86,1638.8,30.19,223.9,H,Sáng,0
301.29,310.68,1739.8,37.46,152.1,M,Chiều,0
300.01,310.43,1722.9,43.0,126.3,L,Sáng,0
301.51,310.62,1648.3,37.77,227.8,L,Sáng,0
302.48,312.4,1411.2,35.74,230.2,L,Sáng,0
298.11,306.93,1323.7,45.52,236.7,H,Chiều,0
297.62,308.31,1397.2,51.2,185.0,M,Chiều,0
300.78,309.81,1613.9,30.99,140.8,L,Chiều,0
302.53,311.22,1625.5,48.16,112.5,L,Đêm,0
299.59,310.08,1414.2,25.73,133.1,H,Sáng,0
298.94,308.84,1626.0,46.06,246.1,L,Sáng,1
299.46,310.32,1180.0,26.17,161.4,H,Đêm,0
296.46,308.83,1612.8,34.64,203.5,L,Đêm,0
302.71,313.19,1834.3,35.98,122.1,H,Đêm,0
299.75,310.75,1405.1,29.21,141.1,M,Đêm,0
301.88,312.42,1353.3,51.64,69.5,L,Sáng,0
295.86,306.02,1713.7,53.83,26.3,H,Sáng,0
300.72,309.86,1696.4,41.23,211.8,M,Chiều,0
302.58,312.43,1596.0,38.75,169.7,L,Chiều,0
304.29,313.78,1584.5,47.34,100.4,L,Chiều,0
300.42,311.39,1485.2,23.07,135.5,L,Sáng,0
300.52,309.73,1532.0,45.63,205.3,L,Sáng,0
301.31,311.01,1468.1,20.41,234.5,L,Sáng,0
303.65,312.6,1698.6,39.12,71.8,L,Chiều,0
297.69,308.09,1461.2,36.0,164.0,M,Đêm,0
300.5,310.45,1634.8,52.57,29.1,L,Chiều,0
299.91,309.93,1441.8,60.36,167.9,L,Sáng,0
301.5,310.45,1411.0,58.35,149.4,M,Sáng,0
299.93,311.12,1575.3,33.89,101.4,L,Sáng,0
300.97,309.38,1476.1,53.03,15.6,M,Đêm,0
301.88,311.22,1677.9,34.76,81.5,H,Chiều,0
300.59,309.8,1536.9,31.08,233.6,L,Sáng,0
302.79,312.97,1458.4,21.78,152.5,L,Đêm,0
299.66,310.43,1316.3,49.95,162.5,M,Sáng,0
302.74,313.98,1355.4,37.98,115.5,H,Chiều,0
300.67,309.87,1728.7,45.43,112.5,H,Chiều,0
300.25,312.31,1738.3,40.41,206.6,M,Đêm,0
298.55,308.46,1483.7,35.4,223.1,M,Chiều,0
300.41,310.31,1301.1,50.72,197.0,L,Sáng,0
300.83,311.32,1287.8,41.41,204.3,H,Đêm,0
299.84,308.57,1497.6,49.35,36.7,L,Chiều,0
298.71,308.15,1324.1,39.95,207.8,L,Sáng,0
302.0,312.34,1345.2,56.6,125.2,L,Chiều,0
301.38,311.71,1625.7,41.35,16.7,L,Sáng,0
297.64,307.51,1591.9,33.99,139.5,H,Sáng,0
298.99,308.11,1579.6,27.99,46.1,H,Sáng,0
296.83,306.64,1456.7,35.62,125.9,L,Chiều,0
299.67,310.58,1351.6,37.41,84.8,H,Sáng,0
301.13,311.24,1485.7,33.83,9.8,L,Chiều,0
301.62,310.21,1402.3,40.63,55.4,L,Đêm,0
299.83,310.45,1703.1,26.14,245.5,H,Sáng,1
299.37,309.35,1180.0,40.01,240.4,H,Sáng,0
300.9,311.46,1553.1,34.06,113.4,L,Chiều,0
299.53,307.67,1718.3,49.24,10.9,L,Sáng,0
301.89,310.82,1625.3,40.75,117.0,L,Chiều,0
300.57,310.2,1734.2,31.3,53.2,L,Sáng,0
300.06,310.98,1448.8,39.46,163.6,H,Chiều,0
299.73,309.72,1540.7,35.53,162.9,L,Chiều,0
298.88,310.43,1234.9,39.06,53.0,L,Sáng,0
300.97,309.2,1655.0,39.72,144.5,H,Đêm,0
299.75,309.94,1469.6,44.14,140.3,H,Sáng,0
302.93,313.16,1524.5,30.87,90.0,M,Sáng,1
299.44,309.77,1470.8,39.65,236.8,L,Đêm,0
303.58,314.36,1748.6,45.62,27.4,M,Chiều,0
299.6,310.29,1338.6,51.64,40.2,L,Sáng,0
300.22,311.34,1456.2,45.6,204.3,H,Sáng,0
297.97,309.6,1535.4,47.51,231.2,L,Đêm,0
299.6,312.03,1333.3,40.95,174.6,L,Đêm,0
299.02,309.84,1263.2,44.67,40.1,H,Sáng,0
301.06,310.95,1897.0,47.63,85.2,L,Chiều,0
302.7,311.79,1215.4,41.32,51.8,H,Sáng,0
299.46,308.01,1737.0,66.76,75.0,H,Chiều,0
300.51,312.22,1412.4,30.17,88.8,L,Đêm,0
301.25,311.32,1755.3,36.04,227.7,M,Chiều,0
302.68,311.15,1571.0,30.86,96.4,M,Sáng,0
297.3,308.1,1336.4,32.8,12.9,M,Sáng,0
302.09,311.36,1573.5,41.95,217.8,H,Đêm,0
299.38,309.18,1241.0,39.98,39.7,L,Chiều,0
302.3,311.94,1716.5,31.89,110.1,H,Đêm,0
297.94,307.54,1717.6,39.56,119.3,M,Chiều,0
297.21,306.48,1641.1,35.95,126.6,H,Sáng,0
300.87,309.05,1622.7,34.88,118.2,L,Đêm,0
297.5,308.46,1653.8,34.53,213.1,H,Chiều,0
299.85,310.4,1314.0,37.23,227.4,H,Chiều,0
305.76,315.03,1243.6,45.34,187.4,L,Sáng,0
302.05,312.45,1566.2,28.22,186.7,H,Sáng,0
298.2,309.19,2004.2,45.47,85.5,M,Sáng,0
300.02,309.31,1645.1,44.75,162.1,L,Đêm,0
301.51,310.16,1744.8,50.96,125.9,L,Chiều,0
300.37,309.24,1180.0,29.8,110.8,L,Sáng,0
296.72,307.77,1758.3,56.6,100.0,M,Đêm,0
299.75,309.89,1377.2,35.72,224.3,L,Đêm,0
301.51,310.78,1672.9,39.7,237.5,L,Sáng,0
296.68,305.86,1442.1,22.96,115.1,M,Sáng,0
299.8,309.16,1297.9,49.07,214.0,M,Đêm,0
296.67,307.85,1447.4,28.06,81.4,L,Đêm,0
299.99,311.19,1761.2,45.55,239.3,L,Đêm,0
300.04,310.29,1558.4,34.32,20.8,H,Chiều,0
305.74,314.5,1391.1,49.87,61.4,L,Sáng,0
298.25,309.16,1180.0,30.97,180.1,H,Chiều,0
300.64,308.62,1566.2,30.74,236.7,L,Chiều,0
301.45,311.41,1394.7,41.16,171.8,L,Sáng,0
301.53,311.59,1542.1,48.84,150.3,L,Sáng,0
300.45,311.55,1569.1,30.8,4.9,M,Đêm,0
302.54,312.96,1281.9,31.39,36.3,L,Đêm,0
299.0,306.41,1506.2,50.08,144.0,M,Sáng,0
301.96,311.84,1250.6,46.73,152.5,M,Đêm,0
301.96,310.99,1680.7,27.92,165.4,M,Đêm,0
302.01,313.16,1502.4,49.84,116.2,M,Sáng,0
298.69,306.79,1377.5,38.82,47.1,L,Đêm,0
298.12,309.39,1720.8,35.27,111.0,L,Chiều,0
301.56,313.01,1247.4,39.32,143.9,M,Sáng,0
301.45,310.58,1552.5,51.95,185.2,L,Chiều,0
298.3,308.24,1698.0,39.78,176.6,L,Chiều,0
300.51,311.09,1669.3,36.11,33.9,H,Chiều,0
304.61,315.53,1548.8,52.28,92.1,H,Đêm,0
299.15,310.32,1444.6,52.23,55.8,L,Sáng,0
301.46,310.96,1447.6,40.69,134.9,H,Đêm,0
299.81,308.47,1491.5,32.43,215.5,L,Sáng,0
301.59,312.85,1456.4,39.62,208.9,L,Đêm,0
299.7,309.29,1890.7,44.91,136.2,L,Chiều,0
301.66,313.96,1395.0,9.95,201.8,L,Sáng,1
297.26,305.55,1577.7,36.56,31.5,L,Sáng,0
298.15,308.97,1551.3,57.0,228.1,L,Đêm,1
296.85,307.09,1746.0,50.5,55.8,L,Sáng,0
300.73,309.75,1743.8,49.54,235.0,H,Sáng,0
302.17,312.61,1647.4,23.72,192.6,H,Sáng,0
300.26,310.31,1324.8,47.44,213.4,L,Đêm,0
298.4,307.75,1402.9,35.22,96.8,M,Chiều,0
299.68,309.85,1642.3,42.55,43.4,M,Sáng,0
299.51,309.54,1692.4,22.72,126.0,L,Chiều,0
303.25,312.56,1583.8,46.82,129.8,H,Đêm,0
297.85,308.68,1465.0,34.0,7.9,H,Sáng,0
296.31,307.29,1686.7,29.13,107.5,L,Đêm,0
299.32,308.93,1522.8,42.42,59.4,H,Sáng,0
296.33,306.61,1410.0,45.27,193.4,L,Chiều,0
299.82,309.74,1555.8,44.75,197.3,L,Đêm,0
300.92,311.06,1481.5,32.76,221.8,L,Sáng,0
303.68,313.61,1345.3,36.63,50.2,H,Sáng,0
298.95,308.9,1450.7,52.37,13.3,M,Sáng,0
298.78,309.24,1296.4,21.04,131.8,L,Sáng,0
297.65,308.6,1793.8,20.09,204.4,L,Đêm,0
304.25,313.93,1483.9,52.04,70.3,M,Sáng,0
